1#'JLY'#2001 OP_4      5968.930    1028.960      0.105E+07
1#'JLY'#2001 OP_5      2161.800       0.435      0.163E+07
1#'AUG'#2001 OP_1      8002.740      67.968      0.133E+07
1#'AUG'#2001 OP_2      6267.260       0.551      0.107E+07
1#'AUG'#2001 OP_3      3636.510       0.198      0.164E+07
1#'AUG'#2001 OP_4      5332.310    1509.970      0.940E+06
1#'AUG'#2001 OP_5      3074.570       0.604      0.159E+07
1#'SEP'#2001 OP_1      8055.700     123.217      0.135E+07
1#'SEP'#2001 OP_2      6312.590       2.889      0.109E+07
1#'SEP'#2001 OP_3      4087.920       0.024      0.163E+07
1#'SEP'#2001 OP_4      4850.840    1903.140      0.837E+06
1#'SEP'#2001 OP_5      2785.760       0.680      0.154E+07
1#'OCT'#2001 OP_1      8052.720     211.337      0.135E+07
1#'OCT'#2001 OP_2      6349.190      13.030      0.108E+07
1#'OCT'#2001 OP_3      4567.370       0.204      0.157E+07
1#'OCT'#2001 OP_4      4468.450    2328.860      0.752E+06
1#'OCT'#2001 OP_5      2958.740       0.726      0.137E+07
1#'NOV'#2001 OP_1      7993.770     342.987      0.135E+07
1#'NOV'#2001 OP_2      6407.660      50.117      0.110E+07
1#'NOV'#2001 OP_3      4828.700       0.301      0.148E+07
1#'NOV'#2001 OP_4      4099.250    2670.730      0.685E+06
1#'NOV'#2001 OP_5      2823.790       0.380      0.905E+06
1#'DEC'#2001 OP_1      7984.030     547.316      0.135E+07
1#'DEC'#2001 OP_2      6299.910     150.203      0.110E+07
1#'DEC'#2001 OP_3      4913.670       0.185      0.141E+07
1#'DEC'#2001 OP_4      3611.710    3032.120      0.604E+06
1#'DEC'#2001 OP_5      3553.780       0.139      0.691E+06
1#'JAN'#2002 OP_1      7935.180     862.483      0.135E+07
1#'JAN'#2002 OP_2      5784.420     270.182      0.100E+07
1#'JAN'#2002 OP_3      5257.740       0.106      0.121E+07
1#'JAN'#2002 OP_4      3354.050    3222.930      0.575E+06
1#'JAN'#2002 OP_5      3835.130       0.050      0.620E+06
1#'FEB'#2002 OP_1      7280.230    1430.680      0.127E+07
1#'FEB'#2002 OP_2      6005.060     357.613      0.106E+07
1#'FEB'#2002 OP_3      5607.530       0.072      0.108E+07
1#'FEB'#2002 OP_4      3078.010    3365.470      0.520E+06
1#'FEB'#2002 OP_5      3804.940       0.017      0.582E+06
1#'MAR'#2002 OP_1      6603.950    2119.840      0.110E+07
1#'MAR'#2002 OP_2      5432.130     604.011      0.967E+06
1#'MAR'#2002 OP_3      5777.750       0.046      0.924E+06
1#'MAR'#2002 OP_4      2843.120    3447.110      0.482E+06
1#'MAR'#2002 OP_5      3615.650       0.005      0.518E+06
1#'APR'#2002 OP_1      5851.930    2934.730      0.984E+06
1#'APR'#2002 OP_2      4886.030     757.740      0.866E+06
1#'APR'#2002 OP_3      5641.080       0.040      0.829E+06
1#'APR'#2002 OP_4      2649.190    3754.420      0.441E+06
1#'APR'#2002 OP_5      3878.920       0.003      0.522E+06
1#'MAY'#2002 OP_1      5249.990    3592.370      0.895E+06
1#'MAY'#2002 OP_2      4609.230     920.572      0.813E+06
1#'MAY'#2002 OP_3      5817.050       0.032      0.798E+06
1#'MAY'#2002 OP_4      2566.310    3867.530      0.431E+06
1#'MAY'#2002 OP_5      3861.570       0.002      0.513E+06
1#'JUN'#2002 OP_1      4760.790    4084.930      0.812E+06
1#'JUN'#2002 OP_2      4251.300    1053.050      0.734E+06
1#'JUN'#2002 OP_3      5879.120       0.019      0.794E+06
1#'JUN'#2002 OP_4      2470.710    3786.220      0.407E+06
1#'JUN'#2002 OP_5      3826.190       0.008      0.534E+06
1#'JLY'#2002 OP_1      4329.800    4518.670      0.743E+06
1#'JLY'#2002 OP_2      4023.830    1255.920      0.698E+06
1#'JLY'#2002 OP_3      6230.230       0.030      0.797E+06
1#'JLY'#2002 OP_4      2329.100    3850.570      0.381E+06
1#'JLY'#2002 OP_5      4246.840       0.064      0.526E+06
1#'AUG'#2002 OP_1      3908.160    4873.910      0.673E+06
1#'AUG'#2002 OP_2      4208.820    1303.850      0.747E+06
1#'AUG'#2002 OP_3      6173.800       0.158      0.766E+06
1#'AUG'#2002 OP_4      2283.930    3810.210      0.384E+06
1#'AUG'#2002 OP_5      4095.840       0.305      0.476E+06
1#'SEP'#2002 OP_1      3632.410    5184.870      0.634E+06
1#'SEP'#2002 OP_2      3887.550    1577.050      0.703E+06
1#'SEP'#2002 OP_3      6011.280      10.543      0.734E+06
1#'SEP'#2002 OP_4      2228.010    4011.970      0.366E+06
1#'SEP'#2002 OP_5      4010.490       0.797      0.503E+06
1#'OCT'#2002 OP_1      3610.060    5253.500      0.625E+06
1#'OCT'#2002 OP_2      3492.540    1676.020      0.620E+06
1#'OCT'#2002 OP_3      5914.370      83.238      0.701E+06
1#'OCT'#2002 OP_4      2202.170    4222.700      0.360E+06
1#'OCT'#2002 OP_5      4375.160       1.114      0.500E+06
1#'NOV'#2002 OP_1      3238.820    5698.980      0.554E+06
1#'NOV'#2002 OP_2      3306.600    1844.170      0.588E+06
1#'NOV'#2002 OP_3      5814.080     167.408      0.676E+06
1#'NOV'#2002 OP_4      2128.560    4320.830      0.352E+06
1#'NOV'#2002 OP_5      4310.850       3.093      0.468E+06
1#'DEC'#2002 OP_1      2883.170    5937.920      0.501E+06
1#'DEC'#2002 OP_2      3136.330    2010.000      0.559E+06
1#'DEC'#2002 OP_3      6208.920     254.732      0.765E+06
1#'DEC'#2002 OP_4      2092.540    4363.010      0.344E+06
1#'DEC'#2002 OP_5      4148.190       6.309      0.494E+06
1#'JAN'#2003 OP_1      2368.110    6363.860      0.434E+06
1#'JAN'#2003 OP_2      3123.930    2040.650      0.561E+06
1#'JAN'#2003 OP_3      5348.270     693.983      0.663E+06
1#'JAN'#2003 OP_4      2023.780    4277.060      0.334E+06
1#'JAN'#2003 OP_5      4293.840      11.398      0.451E+06
